Key,SourceString,DevComment
"character_selection_load_game","Загрузить игру",""
"character_selection_start_new","Новая игра",""
"character_selection","Выбор персонажа",""
"character_selection_play_time","Время игры",""
"save_game_delete_modal_title","Удалить персонажа",""
"save_game_delete_modal_description","Вы уверены, что хотите удалить выбранного персонажа?\r\n<b_red>Это действие не может быть отменено.</>",""
"save_game_error_version_entitlements","Сохранения из версии «{SavedVersion}» не совместимы с текущей версией игры «{CurrentVersion}».","args: CurrentVersion, SavedVersion"
"save_game_error_version_backwards","Сохранения из более новой версии игры не совместимы с текущей версией игры «{CurrentVersion}».","args: CurrentVersion, SavedVersion"
"save_game_error_version_code","Обновление внесло изменения во внутриигровой код.",""
"save_game_error_version_content_character","Обновление представило изменения в системе персонажа (например, новые мастерства и др.)",""
"save_game_error_version_content_campaign","Обновление представило изменения в кампании (например, новый сюжетный акт и др.)",""
"button_play","Играть",""
"button_options","Настройки",""
"button_credits","Титры",""
"button_changelog","Патчноут",""
"button_exit","Выход",""
"analytics_consent_description","Мы будем рады, если вы поможете нам улучшить игру, предоставив данные о ее использовании. Они включают только информацию о том, как вы играете в игру, и не содержат никаких личных идентификационных данных или уникальной информации об устройстве. Предоставление данных об использовании не является обязательным, и вы можете отказаться от него в любой момент в меню настроек игры.\r\n\r\nПожалуйста, ознакомьтесь с нашей политикой конфиденциальности:",""
"analytics_consent_title","Аналитика игрового процесса",""
"analytics_privacy_policy_link","privacy.thqnordic.com/en",""
"character_selection_unkown_game_version","<i>неизвестно</>",""
"character_selection_load_error_title","Ошибка загрузки",""
"character_selection_load_error_format","{error}\r\nВерсия сохранения: {save_version}",""
"character_selection_dead_format","{difficulty} (Мертв)",""
"character_selection_dead_description","Это был героический персонаж, чья нить была навсегда оборвана.","This is a specific load error for dead hardcore characters."
"create_new_character","Создать нового персонажа",""
"initial_settings","Начальные настройки",""
"character_selection_ssf_suffix"," (Соло)","suffix appended to difficulty string in character selection for solo-self-found chars"
"button_play_multiplayer","Мультиплеер",""
"character_selection_join_game","Присоединиться к игре",""
"character_selection_host_game","Создать игру",""
"character_selection_start_game","Начать игру","Alternative to ""Load Game"" for new save files"
"character_selection_dead_title","Вечная слава","This is used as title for the ""error"" message/popup for dead characters"
"character_selection_host_incompatible_difficulty","Сложность этого персонажа не соответствует сложности игры хоста ({HostDifficulty}).",""
"character_selection_host_incompatible_ssf","Соло-персонажи не могут присоединяться к совместным играм.",""
"character_selection_host_incompatible_title","Несовместимый персонаж",""
"host_multiplayer_button_preview_disclaimer_title","Примечание",""
"host_multiplayer_button_preview_disclaimer","Совместная игра доступна только в качестве предпросмотра и может содержать больше багов и незавершенных функций. \r\nМожет быть включена соответствующим параметром запуска в Steam.\r\nОна будет интегрирована в основной билд игры в последующие месяцы и затем регулярно улучшаться.\r\nВаши отзывы и сообщения об ошибках крайне приветствуются.",""
"multiplayer_preview_disclaimer","<b_gold>Билд предпросмотра</>\r\nЭто <b>очень ранняя версия</> для совместной игры в Titan Quest II. Пожалуйста, обратите внимание на следующее:\r\n- Качество этой версии <b>не соответствует качеству основной версии</>. То, что уже работает в основной версии, здесь может быть сломано или не доработано (даже в <b>одиночной игре</>).\r\n- Ожидайте ошибок, вылетов, отсутствующих функций и неполного содержимого, а также возможных проблем с сохранениями.\r\nМы <b>ценим</>, что вы играете в эту версию для <b>составления отзыва</>.\r\nПожалуйста, не используйте эту версию игры для обзоров.",""
"button_play_multiplayer_preview","Мультиплеер","in the current EA version this is only for HOSTING the game (joining is only possible via Steam friends list)"
"multiplayer_lobby_create_lobby","Создать лобби",""
"multiplayer_lobby_name","Название лобби",""
"multiplayer_lobby_private","Приватное",""
"multiplayer_lobby_public","Публичное",""
"multiplayer_disclaimer","Предупреждение",""
"multiplayer_lobby_browser","Браузер лобби",""
"multiplayer_lobby_browser_refresh","Обновить",""
"multiplayer_lobby_browser_filters","Фильтры поиска",""
"multiplayer_lobby_browser_type","Тип лобби",""
"multiplayer_lobby_browser_details","Подробности лобби",""
"multiplayer_lobby_type_private","Приватное",""
"multiplayer_lobby_type_public","Публичное",""
"multiplayer_lobby_type_friends","Друзья всегда могут присоединиться",""
"multiplayer_privacy","Конфиденциальность",""
"multiplayer_enter_lobby_name","Введите название лобби...",""
