"Key","SourceString","DevComment"
"character_creation_accessoires","Аксессуары",""
"character_creation_head","Голова",""
"character_creation","Создание персонажа",""
"character_creation_hair","Волосы",""
"character_creation_preset","Пресет",""
"character_creation_body","Тело",""
"character_creation_clothes","Одежда",""
"character_creation_finalize","Готово",""
"character_creation_select_preset","Пресет",""
"character_creation_select_bodytype","Тип тела",""
"character_creation_body_a","Мужской",""
"character_creation_body_b","Женский",""
"character_creation_customize","Изменить",""
"character_creation_confirmation_start_game","Начать новую игру",""
"character_creation_confirmation_keep_editing","Продолжить изменение",""
"character_creation_hardcore_mode","Герой",""
"character_creation_hardcore_mode_description","Настоящий смертный герой с единственным шансом на успех. Смерть станет необратимой, а все снаряжение при себе будет утеряно.",""
"character_creation_name","Имя",""
"character_creation_name_character_limit","Предел символов",""
"character_creation_return_to_selection","Назад к выбору",""
"character_creation_easy_mode_description","Значительно более легкий режим для игроков, которым нужна помощь в начале пути. Режим Неофита можно сменить на другой, как только вы почувствуете себя комфортно.",""
"character_creation_hardcore_mode_warning","Предупреждение",""
"character_creation_banned_words","Имя вашего персонажа содержит запрещенные символы или слова.",""
"character_creation_max_length_exceeded","Имя вашего персонажа превышает максимально допустимую длину.",""
"character_creation_no_preset_selected","Нет выбраного пресета",""
"character_creation_illegal_characters","Имя вашего персонажа содержит недопустимые символы.",""
"character_creation_empty_character_name","Введите имя персонажа.",""
"character_creation_easy_mode","Неофит",""
"character_creation_h2_presets","Пресеты",""
"character_creation_h2_bodytype","Тип тела",""
"character_creation_name_hint","Имя персонажа",""
"character_creation_difficulty","Сложность",""
"character_creation_normal_mode","Адепт",""
"character_creation_normal_mode_description","Проживите свое приключение так, как о нем рассказывают в легендах.",""
"character_creation_start_game_description","{IsJoining}|if(Arg=""Вы уверены, что хотите присоединиться с новым персонажем?"", else=""Вы уверены, что хотите начать новую игру?"")","IsJoining = is the character created when joining a multiplayer lobby?"
"character_creation_to_selection_description","Вы уверены, что хотите вернуться к выбору персонажа?",""
"character_creation_appearance_code","Код внешности",""
"character_creation_appearance_code_load","Загрузить",""
"character_creation_appearance_save_description","Сохраните этот код, чтобы позже загрузить этот внешний вид.",""
"character_creation_appearance_load_description","Вставьте сюда код внешнего вида, чтобы загрузить его.",""
"character_creation_load_preset","Вставить код",""
"character_creation_save_preset","Получить код",""
"character_creation_codes","Коды",""
"character_creation_name_field","Предел символов: 30",""
"character_creation_solo_self_found","Соло-игра",""
"character_creation_solo_self_found_description","Соло-персонажи не могут обмениваться предметами с другими персонажами и присоединяться к совместным играм в мультиплеере.",""
"character_creation_solo_self_found_option","Включить",""
"character_creation_easy_mode_buff","Защищенный милостью Афины, этот неопытный герой получает лишь половину урона, а его здоровье восстанавливается быстрее. Отключите это на ритуальном святилище, когда будете готовы.","Tooltip appearing over the ingame buff icon"
"character_creation_equipment","Экипировка",""
"character_creation_loadout","Начальная экипировка",""
"character_creation_show_equipment","Показать экипировку",""
"default_equipment_hoplite","Копье",""
"default_equipment_heavy","Дубина",""
"default_equipment_archer","Лук",""
"default_equipment_rogue","Топор",""
"default_equipment_naked","Кинжал",""
"default_equipment_mage","Маг",""
"character_creation_appearance_code_copied","Вид скопирован в буфер обмена",""
"character_creation_appearance","Внешний вид",""
"character_creation_appearance_code_pasted","Вид вставлен из буфера обмена",""
"character_creation_appearance_paste_failed","Недействительный код внешнего вида",""
