"Key","SourceString","DevComment"
"wp_unique_dagger_t1_01_name","Павший клинок",""
"wp_unique_dagger_t1_01_flavortext","Зловещее оружие, постоянно пылающее нечестивым огнем.",""
"wp_unique_dagger_t1_02_name","Хвост тригона",""
"wp_unique_dagger_t1_02_flavortext","Ядовитый кончик хвоста повелителя скатов, убившего Одиссея.",""
"wp_unique_dagger_t1_03_name","Сердцепронзатель",""
"wp_unique_dagger_t1_03_flavortext","Сужающееся острие с единственной на то целью.",""
"wp_unique_dagger_t1_04_name","",""
"wp_unique_dagger_t1_04_flavortext","Небольшая дубинка для вырубания жертв.",""
"wp_unique_dagger_t1_05_name","Катарсис",""
"wp_unique_dagger_t1_05_flavortext","Уникальное оружие, закаленное молнией Зевса. Оно трещит от энергии.",""
"wp_unique_dagger_t1_q1_name","Нетронутый клинок",""
"wp_unique_dagger_t1_q1_flavortext","",""
"wp_unique_dagger_t2_01_name","","was ether"
"wp_unique_dagger_t2_01_flavortext","Кажется, что клинок лишь частично существует в этом мире.",""
"wp_unique_dagger_t2_02_name","Стимфалийский клык",""
"wp_unique_dagger_t2_02_flavortext","",""
"wp_unique_dagger_t2_03_name","Костяной нож",""
"wp_unique_dagger_t2_03_flavortext","Этот странный нож покрыт черными чернилами.",""
"wp_unique_dagger_t2_04_name","Нарушитель клятвы",""
"wp_unique_dagger_t2_04_flavortext","Когда-то клинок был разбит на куски, чтобы похоронить память о той темной роли, которую он играл.",""
"wp_unique_dagger_t2_05_name","Сосулька",""
"wp_unique_dagger_t2_05_flavortext","Магический кристалл льда, излучающий обжигающий холод.",""
"wp_unique_dagger_t3_01_name","",""
"wp_unique_dagger_t3_01_flavortext","",""
"wp_unique_dagger_t3_02_name","",""
"wp_unique_dagger_t3_02_flavortext","",""
"wp_unique_dagger_t3_03_name","",""
"wp_unique_dagger_t3_03_flavortext","",""
"wp_unique_dagger_t3_04_name","",""
"wp_unique_dagger_t3_04_flavortext","",""
"wp_unique_dagger_t3_05_name","",""
"wp_unique_dagger_t3_05_flavortext","",""
"wp_unique_sword1h_t1_01_name","Скульптор душ",""
"wp_unique_sword1h_t1_01_flavortext","Сияющий клинок, ранящий дух не меньше, чем тело.",""
"wp_unique_sword1h_t1_02_name","",""
"wp_unique_sword1h_t1_02_flavortext","",""
"wp_unique_sword1h_t1_03_name","Атлантская сабля","or coral"
"wp_unique_sword1h_t1_03_flavortext","Реликвия из места, овеянного легендами.",""
"wp_unique_sword1h_t1_04_name","Костяная пила",""
"wp_unique_sword1h_t1_04_flavortext","Говорят, Асклепий применял ее на своих пациентах. Теперь же она служит более ужасным целям.",""
"wp_unique_sword1h_t1_05_name","","ex battlemage"
"wp_unique_sword1h_t1_05_flavortext","",""
"wp_unique_sword1h_t1_q1_name","Меч Кенея",""
"wp_unique_sword1h_t1_q1_flavortext","Меч героического духа, которого вы встретили на пляже.",""
"wp_unique_sword1h_t2_01_name","Тишина",""
"wp_unique_sword1h_t2_01_flavortext","Созданный королем для разрушения чар нимфы, этот меч вселяет страх в сердца всех магов.",""
"wp_unique_sword1h_t2_02_name","",""
"wp_unique_sword1h_t2_02_flavortext","",""
"wp_unique_sword1h_t2_03_name","","ex light"
"wp_unique_sword1h_t2_03_flavortext","",""
"wp_unique_sword1h_t2_04_name","",""
"wp_unique_sword1h_t2_04_flavortext","",""
"wp_unique_sword1h_t2_05_name","","ex sword"
"wp_unique_sword1h_t2_05_flavortext","",""
"wp_unique_sword1h_t3_01_name","Дамоклов меч",""
"wp_unique_sword1h_t3_01_flavortext","",""
"wp_unique_sword1h_t3_02_name","","ex burning spartan"
"wp_unique_sword1h_t3_02_flavortext","",""
"wp_unique_sword1h_t3_03_name","",""
"wp_unique_sword1h_t3_03_flavortext","",""
"wp_unique_sword1h_t3_04_name","",""
"wp_unique_sword1h_t3_04_flavortext","",""
"wp_unique_sword1h_t3_05_name","",""
"wp_unique_sword1h_t3_05_flavortext","",""
"wp_unique_axe1h_t1_01_name","Ледоруб",""
"wp_unique_axe1h_t1_01_flavortext","Коварное оружие, предназначенное для разбивания ледяных статуй из живых существ.",""
"wp_unique_axe1h_t1_02_name","",""
"wp_unique_axe1h_t1_02_flavortext","",""
"wp_unique_axe1h_t1_03_name","Сагарис Каркинос",""
"wp_unique_axe1h_t1_03_flavortext","Топор, сделанный из острых как бритва клешней краба.",""
"wp_unique_axe1h_t1_04_name","Топор разбойника",""
"wp_unique_axe1h_t1_04_flavortext","Хорошо отточенное лезвие, покрытое ядом.",""
"wp_unique_axe1h_t2_01_name","",""
"wp_unique_axe1h_t2_01_flavortext","",""
"wp_unique_axe1h_t2_02_name","",""
"wp_unique_axe1h_t2_02_flavortext","",""
"wp_unique_axe1h_t2_03_name","",""
"wp_unique_axe1h_t2_03_flavortext","",""
"wp_unique_axe1h_t2_04_name","",""
"wp_unique_axe1h_t2_04_flavortext","",""
"wp_unique_axe1h_t3_01_name","","something cold"""""
"wp_unique_axe1h_t3_01_flavortext","",""
"wp_unique_axe1h_t3_02_name","",""
"wp_unique_axe1h_t3_02_flavortext","",""
"wp_unique_axe1h_t3_03_name","",""
"wp_unique_axe1h_t3_03_flavortext","",""
"wp_unique_axe1h_t3_04_name","",""
"wp_unique_axe1h_t3_04_flavortext","",""
"wp_unique_blunt1h_t1_01_name","Палка крысолова",""
"wp_unique_blunt1h_t1_01_flavortext","Когда в канализации расплодились крысы, тегейские жители придумали страшную смесь из летучих ядов.",""
"wp_unique_blunt1h_t1_02_name","Пир душ",""
"wp_unique_blunt1h_t1_02_flavortext","В этом оружии заключен голодный дух.",""
"wp_unique_blunt1h_t1_03_name","Коралловая булава",""
"wp_unique_blunt1h_t1_03_flavortext","Этот коралл достаточно твердый, чтобы дробить кости.",""
"wp_unique_blunt1h_t1_04_name","",""
"wp_unique_blunt1h_t1_04_flavortext","",""
"wp_unique_blunt1h_t2_01_name","",""
"wp_unique_blunt1h_t2_01_flavortext","",""
"wp_unique_blunt1h_t2_02_name","",""
"wp_unique_blunt1h_t2_02_flavortext","",""
"wp_unique_blunt1h_t2_03_name","",""
"wp_unique_blunt1h_t2_03_flavortext","",""
"wp_unique_blunt1h_t2_04_name","",""
"wp_unique_blunt1h_t2_04_flavortext","",""
"wp_unique_blunt1h_t3_01_name","",""
"wp_unique_blunt1h_t3_01_flavortext","",""
"wp_unique_blunt1h_t3_02_name","",""
"wp_unique_blunt1h_t3_02_flavortext","",""
"wp_unique_blunt1h_t3_03_name","",""
"wp_unique_blunt1h_t3_03_flavortext","",""
"wp_unique_blunt1h_t3_04_name","",""
"wp_unique_blunt1h_t3_04_flavortext","",""
"wp_unique_blunt2h_t1_01_name","Грибковое полено",""
"wp_unique_blunt2h_t1_01_flavortext","При встряхивании выделяет облако спор.",""
"wp_unique_blunt2h_t1_02_name","Факел Прометея",""
"wp_unique_blunt2h_t1_02_flavortext","Получив огонь, люди возвысились над всеми остальными творениями богов.",""
"wp_unique_blunt2h_t1_03_name","Разрушитель плотин",""
"wp_unique_blunt2h_t1_03_flavortext","Очень тяжелая кувалда.",""
"wp_unique_blunt2h_t1_04_name","Сфера Пердиксы",""
"wp_unique_blunt2h_t1_04_flavortext","Хотя изобретательность была присуща всей семье, Пердикса проявляла особый интерес к железу и магнетизму.",""
"wp_unique_blunt2h_t2_01_name","",""
"wp_unique_blunt2h_t2_01_flavortext","",""
"wp_unique_blunt2h_t2_02_name","",""
"wp_unique_blunt2h_t2_02_flavortext","",""
"wp_unique_blunt2h_t2_03_name","",""
"wp_unique_blunt2h_t2_03_flavortext","",""
"wp_unique_blunt2h_t2_04_name","",""
"wp_unique_blunt2h_t2_04_flavortext","",""
"wp_unique_blunt2h_t3_01_name","",""
"wp_unique_blunt2h_t3_01_flavortext","",""
"wp_unique_blunt2h_t3_02_name","",""
"wp_unique_blunt2h_t3_02_flavortext","",""
"wp_unique_blunt2h_t3_03_name","",""
"wp_unique_blunt2h_t3_03_flavortext","",""
"wp_unique_blunt2h_t3_04_name","",""
"wp_unique_blunt2h_t3_04_flavortext","",""
"wp_unique_axe2h_t1_01_name","Бешеный бык",""
"wp_unique_axe2h_t1_01_flavortext","Этот массивный топор когда-то висел над входом в лабиринт Кносса.",""
"wp_unique_axe2h_t1_02_name","Мегалос",""
"wp_unique_axe2h_t1_02_flavortext","Большой топор, некогда подаренный Зевсом царю Фракии.",""
"wp_unique_axe2h_t1_03_name","",""
"wp_unique_axe2h_t1_03_flavortext","",""
"wp_unique_axe2h_t1_04_name","Арфа",""
"wp_unique_axe2h_t1_04_flavortext","Пламя кузницы Гефеста до сих пор горит в клинке этого оружия.",""
"wp_unique_axe2h_t1_05_name","",""
"wp_unique_axe2h_t1_05_flavortext","",""
"wp_unique_axe2h_t1_q1_name","Лопатка Гиппокампуса",""
"wp_unique_axe2h_t1_q1_flavortext","Веками существо выжидало, затаившись в своей каменной тюрьме, пока вы не убили его.",""
"wp_unique_axe2h_t2_01_name","",""
"wp_unique_axe2h_t2_01_flavortext","",""
"wp_unique_axe2h_t2_02_name","",""
"wp_unique_axe2h_t2_02_flavortext","",""
"wp_unique_axe2h_t2_03_name","",""
"wp_unique_axe2h_t2_03_flavortext","",""
"wp_unique_axe2h_t2_04_name","Ледяная коса",""
"wp_unique_axe2h_t2_04_flavortext","Когда Деметра отменила вечную зиму, остался только этот топор.",""
"wp_unique_axe2h_t2_05_name","",""
"wp_unique_axe2h_t2_05_flavortext","",""
"wp_unique_axe2h_t2_06_name","",""
"wp_unique_axe2h_t2_06_flavortext","",""
"wp_unique_axe2h_t3_01_name","",""
"wp_unique_axe2h_t3_01_flavortext","",""
"wp_unique_axe2h_t3_02_name","",""
"wp_unique_axe2h_t3_02_flavortext","",""
"wp_unique_axe2h_t3_03_name","",""
"wp_unique_axe2h_t3_03_flavortext","",""
"wp_unique_axe2h_t3_04_name","Ключ Элизиума",""
"wp_unique_axe2h_t3_04_flavortext","Легенда гласит, что в этом могучем оружии хранится сила великих героев прошлого.",""
"wp_unique_axe2h_t3_05_name","",""
"wp_unique_axe2h_t3_05_flavortext","",""
"wp_unique_axe2h_t3_06_name","",""
"wp_unique_axe2h_t3_06_flavortext","",""
"wp_unique_spear1h_t1_01_name","Жало тени",""
"wp_unique_spear1h_t1_01_flavortext","Мрачная аура окружает это старое дори.",""
"wp_unique_spear1h_t1_02_name","Штандарт каракатицы",""
"wp_unique_spear1h_t1_02_flavortext","Странное магическое копье, используемое в ихтианских ритуалах.",""
"wp_unique_spear1h_t1_03_name","Охотничий кол",""
"wp_unique_spear1h_t1_03_flavortext","Непромахивающееся копье, заколдованное Артемидой в подарок Ориону.",""
"wp_unique_spear1h_t1_04_name","Кровавая дрожь",""
"wp_unique_spear1h_t1_04_flavortext","Шедевр из храма Хеймона, главного поставщика холодного оружия и молчаливых стражников.",""
"wp_unique_spear1h_t1_05_name","",""
"wp_unique_spear1h_t1_05_flavortext","",""
"wp_unique_spear1h_t1_06_name","",""
"wp_unique_spear1h_t1_06_flavortext","",""
"wp_unique_spear1h_t2_01_name","",""
"wp_unique_spear1h_t2_01_flavortext","",""
"wp_unique_spear1h_t2_02_name","",""
"wp_unique_spear1h_t2_02_flavortext","",""
"wp_unique_spear1h_t2_03_name","",""
"wp_unique_spear1h_t2_03_flavortext","",""
"wp_unique_spear1h_t2_04_name","",""
"wp_unique_spear1h_t2_04_flavortext","",""
"wp_unique_spear1h_t2_05_name","",""
"wp_unique_spear1h_t2_05_flavortext","",""
"wp_unique_spear1h_t2_06_name","",""
"wp_unique_spear1h_t2_06_flavortext","",""
"wp_unique_spear1h_t3_01_name","",""
"wp_unique_spear1h_t3_01_flavortext","",""
"wp_unique_spear1h_t3_02_name","",""
"wp_unique_spear1h_t3_02_flavortext","",""
"wp_unique_spear1h_t3_03_name","","ex Hades"
"wp_unique_spear1h_t3_03_flavortext","",""
"wp_unique_spear1h_t3_04_name","",""
"wp_unique_spear1h_t3_04_flavortext","",""
"wp_unique_spear1h_t3_05_name","",""
"wp_unique_spear1h_t3_05_flavortext","",""
"wp_unique_spear1h_t3_06_name","",""
"wp_unique_spear1h_t3_06_flavortext","",""
"wp_unique_bow_t1_01_name","Раскат грома",""
"wp_unique_bow_t1_01_flavortext","Зачарован силой ветра и молнии.",""
"wp_unique_bow_t1_02_name","Таранный лук II",""
"wp_unique_bow_t1_02_flavortext","Лук, что бьет с необычайно взрывной силой.",""
"wp_unique_bow_t1_03_name","",""
"wp_unique_bow_t1_03_flavortext","",""
"wp_unique_bow_t1_04_name","Барраж",""
"wp_unique_bow_t1_04_flavortext","Иногда количество - это выход.",""
"wp_unique_bow_t1_05_name","",""
"wp_unique_bow_t1_05_flavortext","",""
"wp_unique_bow_t2_01_name","",""
"wp_unique_bow_t2_01_flavortext","",""
"wp_unique_bow_t2_02_name","",""
"wp_unique_bow_t2_02_flavortext","",""
"wp_unique_bow_t2_03_name","",""
"wp_unique_bow_t2_03_flavortext","",""
"wp_unique_bow_t2_04_name","",""
"wp_unique_bow_t2_04_flavortext","",""
"wp_unique_bow_t2_05_name","",""
"wp_unique_bow_t2_05_flavortext","",""
"wp_unique_bow_t3_01_name","",""
"wp_unique_bow_t3_01_flavortext","",""
"wp_unique_bow_t3_02_name","",""
"wp_unique_bow_t3_02_flavortext","",""
"wp_unique_bow_t3_03_name","",""
"wp_unique_bow_t3_03_flavortext","",""
"wp_unique_bow_t3_04_name","",""
"wp_unique_bow_t3_04_flavortext","",""
"wp_unique_bow_t3_05_name","",""
"wp_unique_bow_t3_05_flavortext","",""
"wp_unique_staff_t1_01_name","Фотиа",""
"wp_unique_staff_t1_01_flavortext","Посох, пропитанный самой сутью пламени.",""
"wp_unique_staff_t1_02_name","Тирсус",""
"wp_unique_staff_t1_02_flavortext","Посох, увитый виноградной лозы, что священна для Диониса.",""
"wp_unique_staff_t1_03_name","Илектрисимос",""
"wp_unique_staff_t1_03_flavortext","Было множество неудачных попыток создания молнии Зевса, и некоторые из них были более перспективными, чем другие.",""
"wp_unique_staff_t1_04_name","Телекинос",""
"wp_unique_staff_t1_04_flavortext","Направляющий тупую силу посох, полезный для разрешения научных разногласий.",""
"wp_unique_staff_t1_05_name","",""
"wp_unique_staff_t1_05_flavortext","",""
"wp_unique_staff_t2_01_name","",""
"wp_unique_staff_t2_01_flavortext","",""
"wp_unique_staff_t2_02_name","",""
"wp_unique_staff_t2_02_flavortext","",""
"wp_unique_staff_t2_03_name","",""
"wp_unique_staff_t2_03_flavortext","",""
"wp_unique_staff_t2_04_name","",""
"wp_unique_staff_t2_04_flavortext","",""
"wp_unique_staff_t2_05_name","",""
"wp_unique_staff_t2_05_flavortext","",""
