"Key","SourceString","DevComment"
"tooltip_equipped_note","Надето","Shown on item comparison tooltips to say that this is the currently equipped item"
"tooltip_requirements","Требует:","Header line for item requirements in tooltips"
"tooltip_value","Цена: {Gold}",""
"item_subline_levelsuffix","Ур. {ItemLevel}","Optional {LevelSuffix} to insert into the item_subline"
"item_subline_quest_item","Предмет задания","Quest items show this instead of the item_subline"
"comparison_other_item_prompt","Сравнить",""
"inventory","Инвентарь",""
"inventory_button_details","Сведения",""
"inventory_button_resources","Ресурсы",""
"inventory_button_quest","Задания","Switch to Quest Inventory"
"inventory_button_sort","Сортировать",""
"inventory_button_regular_inventory","Броня","Switch back to the normal inventory"
"inventory_character_summary","Ур. {CharacterLevel} - {CharacterClass}",""
"notification_inventory_full","Инвентарь полон",""
"gold","Золота",""
"item_armor","Брони","used to describe armor rating"
"item_damage","Урона","used to describe damage rating"
"item_category_weapon","Оружие",""
"item_category_armor","Броня",""
"item_category_talismans_and_shields","Талисманы и щиты",""
"inventory_button_crafting","Создание",""
"inventory_button_lore","Лор",""
"item_category_melee_weapons","Ближнее оружие",""
"item_category_ranged_weapons","Дальнее оружие",""
"item_category_jewellery","Бижутерия",""
"item_category_all","Все предметы",""
"item_category_buyback","Выкуп",""
"caravan","Караван",""
"tooltip_potion","Зелье",""
"tooltip_atk_speed","Скорость атаки",""
"item_healing","Лечения",""
"item_recovery","Энергии",""
"magical_fragment","Магические фрагменты",""
"currency","Валюта",""
"tooltip_amount","Количество: {Amount}",""
"inventory_button_currencies","Валюта",""
"tooltip_potion_over_time","<b>{Amount}</> {Type} за <b>{Time} сек.</>",""
"tooltip_charges_cost","Тратит <b>{Amount}</> из <b>{MaxAmount}</> зарядов при применении",""
"tooltip_potion_health_charge_gain","Получает заряды при нанесении урона",""
"tooltip_potion_energy_charge_gain","Получает <b>{Amount}</> заряд каждые <b>{Time} сек.</>",""
"rarity_common","Обычное",""
"rarity_epic","Эпическое",""
"rarity_infrequent","Необычное",""
"rarity_legendary","Легендарное",""
"rarity_magical","Магическое",""
"rarity_rare","Редкое",""
"item","Предмет",""
"item_subline_boss_remnant","Пережиток",""
"item_rarity_unknown","Неизвестное",""
"equipment_slot_mainhand1","Правая рука (I)",""
"equipment_slot_offhand1","Левая рука (I)",""
"equipment_slot_attachment","Безделушка",""
"equipment_slot_mainhand2","Правая рука (II)",""
"equipment_slot_offhand2","Левая рука (II)",""
"item_type_head","Голова",""
"item_type_shoulder","Плечи",""
"item_type_torso","Торс",""
"item_type_arm","Руки",""
"item_type_artifact","Артефакт",""
"item_type_leg","Ноги",""
"item_type_necklace","Ожерелье",""
"item_type_ring","Кольцо",""
"item_type_mount","Лошадь",""
"item_type_potion","Зелье",""
"item_type_weapon","Оружие",""
"item_type_weapon_axe1h","Топор",""
"item_type_weapon_axe2h","Секира",""
"item_type_weapon_axe2h_light","Легкая секира",""
"item_type_weapon_axe2h_magic","Кристальная секира",""
"item_type_weapon_blunt1h","Дубина",""
"item_type_weapon_blunt2h","Палица",""
"item_type_weapon_blunt2h_ornate","Узорчатая палица",""
"item_type_weapon_bow2h","Лук",""
"item_type_weapon_bow2h_heavy","Тяжелый лук",""
"item_type_weapon_dagger","Кинжал",""
