"Key","SourceString","DevComment"
"Generic_Mod_EnhancedDamage_0Name","Урон",""
"Generic_Mod_EnhancedDamage_1Description","<b>+{DmgMod_UI}|round()%</> урона.",""
"Generic_Mod_EnhancedAilment_0Name","Хворь",""
"Generic_Mod_EnhancedAilment_1Description","<b>+{AilmentMod_UI}|round()%</> шанса хвори.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"Generic_Mod_EnhancedCriticalHit_0Name","Крит. шанс",""
"Generic_Mod_EnhancedCriticalHit_1Description","<b>+{CritMod_UI}|floor()%</> шанса критического удара.",""
"Generic_Mod_EnhancedCriticalHitMP_1Description","<b>+{CritMod_UI}|floor()%</> шанса критического удара.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"Generic_Mod_Fragmentation_0Name","Фрагментация",""
"Generic_Mod_Fragmentation_1Description","<b>{ConversionMod_UI}|round()%</> урона преобразовывается в колющий урон.\nПри ударе с <b>{Chance_UI}|round()%</> шансом наносит <b>{MinDmg}|floor()</> - <b>{MaxDmg}|floor()</> колющего урона в <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)м</> области с <b>{AilmentChance_UI}|fmt(min_frac=0,max_frac=1)%</> шансом хвори.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"Generic_Mod_Fragmentation_2DescriptionShort","<b>{ConversionMod_UI}|round()%</> урона преобразовывается в колющий урон.\nПри ударе с <b>{Chance_UI}|round()%</> шансом наносит <b>{MinDmg}|floor()</> - <b>{MaxDmg}|floor()</> колющего урона в <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)м</> области с <b>{AilmentChance_UI}|fmt(min_frac=0,max_frac=1)%</> шансом хвори.",""
"Generic_Mod_DoomBuilderRadius_0Name","Рок","unused"
"Generic_Mod_DoomBuilderRadius_1Description","Накладывает <b>{Doom}|floor()</> рока на врагов в <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)м</> области.","unused"
"Generic_Mod_DoomBuilderHit_0Name","Рок","unused"
"Generic_Mod_DoomBuilderHit_1Description","","unused"
"Generic_Mod_DoomSpenderDmg_0Name","Рок","unused"
"Generic_Mod_DoomSpenderDmg_1Description","Тратит весь <b>рок</> на враге и наносит на <b>{DmgMod_UI}|fmt(min_frac=0,max_frac=1)%</> больше урона за каждый заряд.","unused"
"Generic_Mod_Conservation_0Name","Сохранение",""
"Generic_Mod_Conservation_1Description","<b>{ReservedMPMod}|round()</> занимаемой энергии.",""
"Generic_Mod_Siphon_0Name","Вытягивание жизни",""
"Generic_Mod_Siphon_1Description","Пораженные враги получают <b>{VitDot}|round()</> урона здоровьем каждую секунду, а их сопротивление здоровью снижается на <b>{ResRedMod_UI}|round()%</> в течение <b>{Duration}|round() сек.</>",""
"Generic_Mod_Blessing_BurstOfSpeed_0Name","Всплеск скорости",""
"Generic_Mod_Blessing_BurstOfSpeed_1Description","Дает <b>+{ActionSpdMod_UI}|round()%</> скорости атаки и сотворения.\nПри прямом применении дает <b>+{MSMod_UI}|round()%</> скорости движения, которая снижается в течение <b>{Duration}|fmt(min_frac=0,max_frac=1) сек.</>",""
"Generic_Mod_Blessing_EnhancedAilment_0Name","Хворь",""
"Generic_Mod_Blessing_EnhancedAilment_1Description","Пока активно, дает:\n<b>+{AilmentChanceMod_UI}|round()%</> шанса хвори\n<b>+{AilmentPowerMod_UI}|round()%</> силы хвори",""
"Generic_Mod_Blessing_EnhancedCriticalHit_0Name","Крит. удары",""
"Generic_Mod_Blessing_EnhancedCriticalHit_1Description","Пока активно, дает:\n<b>+{CritChanceMod_UI}|round()%</> шанса критического удара\n<b>+{CritDmgMod_UI}|round()%</> критического урона",""
"Generic_Mod_Blessing_EnhancedDuration_0Name","Длительность",""
"Generic_Mod_Blessing_EnhancedDuration_1Description","<b>+{DurationMod}|fmt(min_frac=0,max_frac=1) сек.</> длительности.",""
"Generic_Mod_Blessing_Frenzy_0Name","Бешенство",""
"Generic_Mod_Blessing_Frenzy_1Description","Дает:\n<b>+{DmgMod_UI}|round()%</> общего урона\n<b>+{DmgResMod_UI}|round()%</> получаемого урона",""
"Generic_Mod_Blessing_DeadlyStrike_0Name","Смертельный выпад",""
"Generic_Mod_Blessing_DeadlyStrike_1Description","Дает еще <b>+{DmgMod_UI}|round()%</> общего урона\n<b>-{BaseCDMod_UI}|round()%</> длительности перезарядки\n<b>-{DurationMod_UI}|round()%</> длительности действия",""
