"Key","SourceString","DevComment"
"Generic_Mod_EnhancedDamage_0Name","Урон",""
"Generic_Mod_EnhancedDamage_1Description","<b>+{DmgMod_UI}|round()%</> урона",""
"Generic_Mod_EnhancedAilment_0Name","Хворь",""
"Generic_Mod_EnhancedAilment_1Description","<b>+{AilmentMod_UI}|round()%</> <me_AilmentChance>шанса хвори</>\r\n<b>+{MPCostMod}|round()</> расхода энергии",""
"Generic_Mod_EnhancedAilments_0Name","Хворь",""
"Generic_Mod_EnhancedAilments_1Description","<b>+{AilmentMod_UI}|round()%</> <me_AilmentChance>шанса хвори</>",""
"Generic_Mod_EnhancedCriticalHit_0Name","Крит. шанс",""
"Generic_Mod_EnhancedCriticalHit_1Description","<b>+{CritMod_UI}|floor()%</> шанса <me_Critical>критического удара</>",""
"Generic_Mod_EnhancedCriticalHits_0Name","Крит. шанс",""
"Generic_Mod_EnhancedCriticalHits_1Description","<b>+{CritChanceMod_UI}|round()%</> шанса <me_Critical>критического удара</>",""
"Generic_Mod_EnhancedArea_0Name","Область",""
"Generic_Mod_EnhancedArea_1Description","<b>+{AreaMod_UI}|round()%</> области действия",""
"Generic_Mod_EnhancedCriticalHitMP_1Description","<b>+{CritMod_UI}|floor()%</> шанса <me_Critical>критического удара</>\r\n<b>+{MPCostMod}|round()</> расхода энергии",""
"Generic_Mod_Fragmentation_0Name","Фрагментация",""
"Generic_Mod_Fragmentation_1Description","<b>{ConversionMod_UI}|round()%</> урона преобразовывается в <me_PierceDam>колющий урон</>.\nПри ударе с <b>{Chance_UI}|round()%</> шансом наносит <b>{MinDmg}|floor()</> - <b>{MaxDmg}|floor()</> <me_PierceDam>колющего урона</> в <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)м</> области с <b>{AilmentChance_UI}|fmt(min_frac=0,max_frac=1)%</> <me_AilmentChance>шансом хвори</>.\n<b>+{MPCostMod}|round()</> расхода энергии.",""
"Generic_Mod_Fragmentation_2DescriptionShort","<b>{ConversionMod_UI}|round()%</> урона преобразовывается в <me_PierceDam>колющий урон</>.\nПри ударе с <b>{Chance_UI}|round()%</> шансом наносит <b>{MinDmg}|floor()</> - <b>{MaxDmg}|floor()</> <me_PierceDam>колющего урона</> в <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)м</> области с <b>{AilmentChance_UI}|fmt(min_frac=0,max_frac=1)%</> <me_AilmentChance>шансом хвори</>.",""
"Generic_Mod_DoomBuilderRadius_0Name","Рок","unused"
"Generic_Mod_DoomBuilderRadius_1Description","Накладывает <b>{Doom}|floor()</> <me_Doom>рока</> на врагов в <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)м</> области.","unused"
"Generic_Mod_DoomBuilderHit_0Name","Рок","unused"
"Generic_Mod_DoomBuilderHit_1Description","","unused"
"Generic_Mod_DoomSpenderDmg_0Name","Рок","unused"
"Generic_Mod_DoomSpenderDmg_1Description","Тратит весь <me_Doom>рок</> на враге и наносит на <b>{DmgMod_UI}|fmt(min_frac=0,max_frac=1)%</> больше урона за каждый заряд.","unused"
"Generic_Mod_LongShotArea_0Name","Дальний выстрел",""
"Generic_Mod_LongShotArea_1Description","Повышает урон в зависимости от дистанции до цели, вплоть до <b>+{DmgMod_UI}|round()%</>. Предельное усиление достигается при <b>{Distance_UI}|fmt(min_frac=0,max_frac=1)м</>.",""
"Generic_Mod_Conservation_0Name","Сохранение",""
"Generic_Mod_Conservation_1Description","<b>{ReservedMPMod}|round()</> <me_Reserve>занимаемой</> энергии.",""
"Generic_Mod_Siphon_0Name","Вытягивание жизни",""
"Generic_Mod_Siphon_1Description","Пораженные враги получают <b>{VitDot}|round()</> <me_VitalityDam>урона здоровьем</> каждую секунду, а их <me_Resistance>сопротивление</> <me_VitalityDam>здоровью</> снижается на <b>{ResRedMod_UI}|round()%</> в течение <b>{Duration}|round() сек.</>",""
"Generic_Mod_Blessing_BurstOfSpeed_0Name","Всплеск скорости",""
"Generic_Mod_Blessing_BurstOfSpeed_1Description","Дает <b>+{ActionSpdMod_UI}|round()%</> скорости атаки и сотворения.\nПри прямом применении дает <b>+{MSMod_UI}|round()%</> скорости движения, которая снижается в течение <b>{Duration}|fmt(min_frac=0,max_frac=1) сек.</>",""
"Generic_Mod_Blessing_EnhancedAilment_0Name","Хворь",""
